Country,Variable,Year,PercentageValue,Air_pollution_MM3,Dwellings_without_basic_facilities_%,Educational_attainment_%_Men,Educational_attainment_%_Total,Educational_attainment_%_Wemen,Employees_working_very_long_hours_%_Men,Employees_working_very_long_hours_%_Total,Employees_working_very_long_hours_%_Wemen,Employment_rate_%_Men,Employment_rate_%_Total,Employment_rate_%_Wemen,safety_at_night_%_M,safety_at_night_%_T,safety_at_night_%_F,Homicide_rate_M,Homicide_rate_T,Homicide_rate_F,Household_net_income,Household_net_wealth,Housing _xpenditure_%,Labour_market_insecurity_High%,Labour_market_insecurity_Low%,Labour_market_insecurity_M%,Labour_market_insecurity_T%,Labour_market_insecurity_F%,Life_expectancy_M,Life_expectancy_T,Life_expectancy_F,Life_satisfaction_high,Life_satisfaction_low,Life_satisfaction_M,Life_satisfaction_T,Life_satisfaction_F,Long_unemployment_rate_%_M,Long_unemployment_rate_%_T,Long_unemployment_rate_%_F,Personal earnings,Quality of support network_High_%,Quality of support network_Low_%,Quality of support network_M_%,Quality of support network_T_%,Quality of support network_F_%,Rooms_per_person,Self_reported_health_High_%,Self_reported_health_Low_%,Self_reported_health_M_%,Self_reported_health_T_%,Self_reported_health_F_%,Stakeholder_engagement_for_developing _egulations,Student skills_high,Student skills_low,Student skills_M,Student skills_T,Student skills_F,Time_devoted_to _eisure_and_personal_care_M,Time_devoted_to _eisure_and_personal_care_T,Time_devoted_to _eisure_and_personal_care_F,Voter turnout,Water_quality_M,Water_quality_T,Water_quality_F,Years_in_education_M,Years_in_education_T,Years_in_education_F
Czech Republic,TOTPUBSEW,2013,80,20,0.7,95,94,92,8.63,5.65,2.21,81,74,66,82.7,72.3,62.6,0.5,0.5,0.5,21453,"",24,1.5,25.14,2.8,3.1,3.5,76.1,79.1,82.1,"","",6.7,maybe,6.7,0.85,1.04,1.28,25372,95,"",90,91,91,1.4,79,44,62,60,59,1.6,548,440,489,491,493,"","","",61,87,satisfying,86,17.3,17.9,18.5
Czech Republic,TOTPUBSEW,2014,79.9,20,0.7,95,94,92,8.63,5.65,2.21,81,74,66,82.7,72.3,62.6,0.5,0.5,0.5,21453,"",24,1.5,25.14,2.8,3.1,3.5,76.1,79.1,82.1,"","",6.7,maybe,6.7,0.85,1.04,1.28,25372,95,"",90,91,91,1.4,79,44,62,60,59,1.6,548,440,489,491,493,"","","",61,87,satisfying,86,17.3,17.9,18.5
Czech Republic,TOTPUBSEW,2015,80.8,20,0.7,95,94,92,8.63,5.65,2.21,81,74,66,82.7,72.3,62.6,0.5,0.5,0.5,21453,"",24,1.5,25.14,2.8,3.1,3.5,76.1,79.1,82.1,"","",6.7,maybe,6.7,0.85,1.04,1.28,25372,95,"",90,91,91,1.4,79,44,62,60,59,1.6,548,440,489,491,493,"","","",61,87,satisfying,86,17.3,17.9,18.5
Czech Republic,TOTPUBSEW,2016,81.3,20,0.7,95,94,92,8.63,5.65,2.21,81,74,66,82.7,72.3,62.6,0.5,0.5,0.5,21453,"",24,1.5,25.14,2.8,3.1,3.5,76.1,79.1,82.1,"","",6.7,maybe,6.7,0.85,1.04,1.28,25372,95,"",90,91,91,1.4,79,44,62,60,59,1.6,548,440,489,491,493,"","","",61,87,satisfying,86,17.3,17.9,18.5
Czech Republic,TOTPUBSEW,2017,82.4,20,0.7,95,94,92,8.63,5.65,2.21,81,74,66,82.7,72.3,62.6,0.5,0.5,0.5,21453,"",24,1.5,25.14,2.8,3.1,3.5,76.1,79.1,82.1,"","",6.7,maybe,6.7,0.85,1.04,1.28,25372,95,"",90,91,91,1.4,79,44,62,60,59,1.6,548,440,489,491,493,"","","",61,87,satisfying,86,17.3,17.9,18.5
Czech Republic,TOTPUBSEW,2018,82.4,20,0.7,95,94,92,8.63,5.65,2.21,81,74,66,82.7,72.3,62.6,0.5,0.5,0.5,21453,"",24,1.5,25.14,2.8,3.1,3.5,76.1,79.1,82.1,"","",6.7,maybe,6.7,0.85,1.04,1.28,25372,95,"",90,91,91,1.4,79,44,62,60,59,1.6,548,440,489,491,493,"","","",61,87,satisfying,86,17.3,17.9,18.5
Czech Republic,TOTPUBSEW,2019,82.6,20,0.7,95,94,92,8.63,5.65,2.21,81,74,66,82.7,72.3,62.6,0.5,0.5,0.5,21453,"",24,1.5,25.14,2.8,3.1,3.5,76.1,79.1,82.1,"","",6.7,maybe,6.7,0.85,1.04,1.28,25372,95,"",90,91,91,1.4,79,44,62,60,59,1.6,548,440,489,491,493,"","","",61,87,satisfying,86,17.3,17.9,18.5
Denmark,TOTPUBSEW,2010,100,9,0.5,79,81,83,3.72,2.34,0.89,77,74,71,92.3,83.5,74.9,0.8,0.6,0.4,29606,118637,23,3.65,6.78,4.3,4.2,4.1,79,80.9,82.8,7.9,"",7.5,maybe,7.6,1.34,1.31,1.29,51466,96,"",96,95,95,1.9,84,66,72,71,70,2,543,471,503,504,505,15.81,15.87,15.94,86,96,satisfying,94,19.1,19.5,19.9
Denmark,TOTPUBSEW,2011,100,9,0.5,79,81,83,3.72,2.34,0.89,77,74,71,92.3,83.5,74.9,0.8,0.6,0.4,29606,118637,23,3.65,6.78,4.3,4.2,4.1,79,80.9,82.8,7.9,"",7.5,maybe,7.6,1.34,1.31,1.29,51466,96,"",96,95,95,1.9,84,66,72,71,70,2,543,471,503,504,505,15.81,15.87,15.94,86,96,satisfying,94,19.1,19.5,19.9
Denmark,TOTPUBSEW,2012,100,9,0.5,79,81,83,3.72,2.34,0.89,77,74,71,92.3,83.5,74.9,0.8,0.6,0.4,29606,118637,23,3.65,6.78,4.3,4.2,4.1,79,80.9,82.8,7.9,"",7.5,maybe,7.6,1.34,1.31,1.29,51466,96,"",96,95,95,1.9,84,66,72,71,70,2,543,471,503,504,505,15.81,15.87,15.94,86,96,satisfying,94,19.1,19.5,19.9
Denmark,TOTPUBSEW,2013,100,9,0.5,79,81,83,3.72,2.34,0.89,77,74,71,92.3,83.5,74.9,0.8,0.6,0.4,29606,118637,23,3.65,6.78,4.3,4.2,4.1,79,80.9,82.8,7.9,"",7.5,maybe,7.6,1.34,1.31,1.29,51466,96,"",96,95,95,1.9,84,66,72,71,70,2,543,471,503,504,505,15.81,15.87,15.94,86,96,satisfying,94,19.1,19.5,19.9
Denmark,TOTPUBSEW,2014,100,9,0.5,79,81,83,3.72,2.34,0.89,77,74,71,92.3,83.5,74.9,0.8,0.6,0.4,29606,118637,23,3.65,6.78,4.3,4.2,4.1,79,80.9,82.8,7.9,"",7.5,maybe,7.6,1.34,1.31,1.29,51466,96,"",96,95,95,1.9,84,66,72,71,70,2,543,471,503,504,505,15.81,15.87,15.94,86,96,satisfying,94,19.1,19.5,19.9
Denmark,TOTPUBSEW,2015,100,9,0.5,79,81,83,3.72,2.34,0.89,77,74,71,92.3,83.5,74.9,0.8,0.6,0.4,29606,118637,23,3.65,6.78,4.3,4.2,4.1,79,80.9,82.8,7.9,"",7.5,maybe,7.6,1.34,1.31,1.29,51466,96,"",96,95,95,1.9,84,66,72,71,70,2,543,471,503,504,505,15.81,15.87,15.94,86,96,satisfying,94,19.1,19.5,19.9
Denmark,TOTPUBSEW,2016,100,9,0.5,79,81,83,3.72,2.34,0.89,77,74,71,92.3,83.5,74.9,0.8,0.6,0.4,29606,118637,23,3.65,6.78,4.3,4.2,4.1,79,80.9,82.8,7.9,"",7.5,maybe,7.6,1.34,1.31,1.29,51466,96,"",96,95,95,1.9,84,66,72,71,70,2,543,471,503,504,505,15.81,15.87,15.94,86,96,satisfying,94,19.1,19.5,19.9
Denmark,TOTPUBSEW,2017,100,9,0.5,79,81,83,3.72,2.34,0.89,77,74,71,92.3,83.5,74.9,0.8,0.6,0.4,29606,118637,23,3.65,6.78,4.3,4.2,4.1,79,80.9,82.8,7.9,"",7.5,maybe,7.6,1.34,1.31,1.29,51466,96,"",96,95,95,1.9,84,66,72,71,70,2,543,471,503,504,505,15.81,15.87,15.94,86,96,satisfying,94,19.1,19.5,19.9
Denmark,TOTPUBSEW,2018,100,9,0.5,79,81,83,3.72,2.34,0.89,77,74,71,92.3,83.5,74.9,0.8,0.6,0.4,29606,118637,23,3.65,6.78,4.3,4.2,4.1,79,80.9,82.8,7.9,"",7.5,maybe,7.6,1.34,1.31,1.29,51466,96,"",96,95,95,1.9,84,66,72,71,70,2,543,471,503,504,505,15.81,15.87,15.94,86,96,satisfying,94,19.1,19.5,19.9
